Target.Species,Detection,Location,Historical.site?,Habitat,Date,Month,Record,Tracks,Observers,Observer.number,Day.effortId,Start,End,Duration.mins,Duration.x.Observers.mins,Note
Aquilegia formosa,1,Bluff Park,no,"coastal woodland / bluff, mixed forest",2020-04-24,April,observations,,Andrew Simon,1,,13:17:00,16:14:00,177,177,
Aquilegia formosa,0,Dionisio Point Provincial Park,no,mixed forest,2020-07-25,July,observations,,Caitlin Robinson,1,,14:43:00,15:44:00,61,61,
Aquilegia formosa,0,McClure Rd,no,"wetlands, mixed forest",2021-06-04,June,observations,,Caitlin Robinson,1,,16:55:00,18:09:00,73,73,
Aquilegia formosa,0,Cook Road,no,mixed forest,2021-06-05,June,observations,,Caitlin Robinson,1,,18:36:00,18:55:00,19,19,
Aquilegia formosa,1,Bluff Park,no,mixed forest,2021-06-14,June,track + observations,yes,"Andrew Simon, Caitlin Robinson",2,,18:00:00,18:26:00,26,52,
Aquilegia formosa,0,Melissa Road Trail,no,mixed forest,2021-06-14,June,observations,,Caitlin Robinson,1,,20:52:00,22:21:00,97,97,
Aquilegia formosa,0,Stockade Hill (north),no,mixed forest,2021-06-14,June,track + observations,yes,"Andrew Simon, Caitlin Robinson",2,,14:56:00,17:42:00,166,332,
Aquilegia formosa,0,Cameron Lane,no,"wetlands, mixed forest",2021-06-15,June,observations,,Caitlin Robinson,1,,14:15:00,15:05:00,50,50,
Aquilegia formosa,1,Highland Road,no,ruderal / roadside,2021-06-18,June,observations,,Caitlin Robinson,1,,20:08:00,20:23:00,15,15,
Aquilegia formosa,0,Cook Road,no,"mixed forest, wetlands",2021-07-21,July,track + observations,yes,Andrew Simon,1,,11:39:00,14:05:00,146,146,
Aquilegia formosa,0,North of Mount Sutil,no,"wetlands, mixed forest",2022-05-25,May,track + observations,yes,Andrew Simon,1,,14:29:00,14:50:00,21,21,
Aquilegia formosa,0,"Galiano Cemetery, Georgeson Bay Road",no,mixed forest,2022-06-09,June,track,yes,Frank Lomer,1,1,,,55,55,Frank Lomer put in an eight hour day; eight hours split between habitat types based on tracks
Aquilegia formosa,0,Matthews Point Regional Park,no,mixed forest,2022-06-14,June,track,yes,Frank Lomer,1,3,,,27,27,Frank Lomer put in an eight hour day; those hours divided into habitat types based on tracks; additional time searching together later in the day allocated based on iNat obs
Aquilegia formosa,1,Galiano Cemetery,no,mixed forest,2022-06-17,June,observations,,"Andrew Simon, Austin Baines",2,,8:44:00,9:01:00,17,34,
Aquilegia formosa,1,Morgan Road,no,mixed forest,2022-08-04,August,observations,,"Caitlin Robinson, Andrew Simon",2,,19:15:00,20:18:00,63,126,
Aquilegia formosa,0,Gustin Road (nearby),no,mixed forest,2023-05-27,May,"observations, notes from Frank",,"Frank Lomer, Heidi Guest, Edward Sun, Andy Taggart-Smith, Tyler Innes",5,,14:00:00,17:00:00,180,900,"Frank recalls searching for 3 hours (about double the time recorded based on logged iNat obs); hours adjusted to reflect Frank's estimated search effort at this site, then divided between habitat types / target species"
Aquilegia formosa,0,Hunterston Farm,no,mixed forest,2023-05-27,May,observations,,Andrew Simon,1,,9:44:00,12:32:00,168,168,"search efforts divided and allocated based on proportional representation of habitats at Hunterston Farm (a quarter to mixed forest, a quarter to ruderal, and half to coastal woodland)"
