"iNaturalist.taxon.name","iNaturalist.taxon.ID","Taxon.name","ambiguousNameMatch","nameStatus","Common.name","Author","Kingdom","Phylum","Subphylum","Superclass","Class","Subclass","Superorder","Order","Suborder","Infraorder","Superfamily","Family","Subfamily","Tribe","Genus","Species","observationId","Date.observed","Description","Recorded.by","Captive.Cultivated","Quality.grade","coordinateUncertaintyInMeters","timestamp","geometry"
"Luzula subsessilis",77901,"Luzula subsessilis",0,"accepted","short-stalked woodrush",,"Plantae","Tracheophyta","Angiospermae","","Liliopsida","","","Poales","","","","Juncaceae","","","Luzula","subsessilis","iNat:43252907","2020-04-24T13:24:00-07:00",,"Andrew Simon","false","needs_id",,2020-04-24 20:24:00,c(-123.343862, 48.871055)
"Cerastium arvense strictum",50847,"Cerastium arvense strictum",0,"accepted","field mouse-ear chickweed",,"Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Caryophyllales","","","","Caryophyllaceae","","Alsineae","Cerastium","arvense","iNat:43252908","2020-04-24T13:32:00-07:00",,"Andrew Simon","false","research",,2020-04-24 20:32:00,c(-123.341108, 48.86833)
"Lupinus bicolor",50614,"Lupinus bicolor",0,"accepted","Miniature Lupine",,"Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Fabales","","","","Fabaceae","Faboideae","Genisteae","Lupinus","bicolor","iNat:43252922","2020-04-24T13:33:00-07:00",,"Andrew Simon","false","needs_id",,2020-04-24 20:33:00,c(-123.34099, 48.868307)
"Collinsia parviflora",59013,"Collinsia parviflora",0,"accepted","small-flowered blue-eyed mary",,"Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Lamiales","","","","Plantaginaceae","","Cheloneae","Collinsia","parviflora","iNat:43252923","2020-04-24T13:34:00-07:00",,"Andrew Simon","false","research",,2020-04-24 20:34:00,c(-123.34102, 48.868313)
"Anthalia",717054,"Anthalia",0,"accepted","",,"Animalia","Arthropoda","Hexapoda","","Insecta","Pterygota","","Diptera","Brachycera","Orthorrhapha","Empidoidea","Hybotidae","Oedaleinae","","Anthalia","","iNat:43252926","2020-04-24T13:35:00-07:00",,"Andrew Simon","false","needs_id",,2020-04-24 20:35:00,c(-123.341006, 48.868406)
"Trifolium microcephalum",58911,"Trifolium microcephalum",0,"accepted","small-headed clover",,"Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Fabales","","","","Fabaceae","Faboideae","Trifolieae","Trifolium","microcephalum","iNat:43252935","2020-04-24T13:36:00-07:00",,"Andrew Simon","false","research",,2020-04-24 20:36:00,c(-123.341048, 48.868448)
"Trifolium oliganthum",71122,"Trifolium oliganthum",0,"accepted","few-flowered clover",,"Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Fabales","","","","Fabaceae","Faboideae","Trifolieae","Trifolium","oliganthum","iNat:43252936","2020-04-24T13:36:00-07:00",,"Andrew Simon","false","research",,2020-04-24 20:36:00,c(-123.341053, 48.868453)
"Lomatium utriculatum",56827,"Lomatium utriculatum",0,"accepted","Foothill desert-parsley",,"Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Apiales","","","","Apiaceae","Apioideae","Selineae","Lomatium","utriculatum","iNat:43252941","2020-04-24T13:36:00-07:00",,"Andrew Simon","false","research",,2020-04-24 20:36:00,c(-123.341052, 48.868452)
"Lomatium utriculatum",56827,"Lomatium utriculatum",0,"accepted","Foothill desert-parsley",,"Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Apiales","","","","Apiaceae","Apioideae","Selineae","Lomatium","utriculatum","iNat:43252950","2020-04-24T13:39:00-07:00",,"Andrew Simon","false","research",,2020-04-24 20:39:00,c(-123.341058, 48.86845)
"Sphaerophorus venerabilis",155226,"Sphaerophorus venerabilis",0,"accepted","Ancient Coral Lichen",,"Fungi","Ascomycota","Pezizomycotina","","Lecanoromycetes","Lecanoromycetidae","","Lecanorales","","","","Sphaerophoraceae","","","Sphaerophorus","venerabilis","iNat:43252962","2020-04-24T14:04:00-07:00",,"Andrew Simon","false","needs_id",,2020-04-24 21:04:00,c(-123.342825, 48.869078)
