"iNaturalist.taxon.name","iNaturalist.taxon.ID","Taxon.name","ambiguousNameMatch","nameStatus","Common.name","Author","Kingdom","Phylum","Subphylum","Superclass","Class","Subclass","Superorder","Order","Suborder","Infraorder","Superfamily","Family","Subfamily","Tribe","Genus","Species","observationId","Latitude","Longitude","Date.observed","Description","Recorded.by","Captive.Cultivated","Quality.grade","coordinateUncertaintyInMeters","timestamp"
"Trifolium variegatum",57080,"Trifolium variegatum",0,"accepted","white-tipped clover",,"Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Fabales","","","","Fabaceae","Faboideae","Trifolieae","Trifolium","variegatum","iNat:46563590",48.87246,-123.311791,"2020-05-19T16:50:00-07:00",,"Andrew Simon","false","research",20,2020-05-19 23:50:00
"Haliaeetus leucocephalus",5305,"Haliaeetus leucocephalus",0,"accepted","Bald Eagle",,"Animalia","Chordata","Vertebrata","","Aves","","","Accipitriformes","","","","Accipitridae","Buteoninae","","Haliaeetus","leucocephalus","iNat:46563592",48.872283,-123.311388,"2020-05-19T16:57:00-07:00",,"Andrew Simon","false","research",18,2020-05-19 23:57:00
"Trifolium variegatum",57080,"Trifolium variegatum",0,"accepted","white-tipped clover",,"Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Fabales","","","","Fabaceae","Faboideae","Trifolieae","Trifolium","variegatum","iNat:46563595",48.87246,-123.311791,"2020-05-19T17:04:00-07:00",,"Andrew Simon","false","research",20,2020-05-20 00:04:00
"Alchemilla occidentalis",1452907,"Alchemilla occidentalis",0,"accepted","western lady's mantle",,"Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Rosales","","","","Rosaceae","Rosoideae","Potentilleae","Alchemilla","occidentalis","iNat:46563597",48.872431,-123.311814,"2020-05-19T17:42:00-07:00",,"Andrew Simon","false","needs_id",,2020-05-20 00:42:00
"Polytrichum juniperinum",68286,"Polytrichum juniperinum",0,"accepted","juniper haircap moss",,"Plantae","Bryophyta","","","Polytrichopsida","","","Polytrichales","","","","Polytrichaceae","","","Polytrichum","juniperinum","iNat:46563600",48.872573,-123.311367,"2020-05-19T17:50:00-07:00",,"Andrew Simon","false","research",,2020-05-20 00:50:00
"Sedum spathulifolium",58886,"Sedum spathulifolium",0,"accepted","Broad-leaved Stonecrop",,"Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Saxifragales","","","","Crassulaceae","Sempervivoideae","Sedeae","Sedum","spathulifolium","iNat:46563605",48.872583,-123.310848,"2020-05-19T17:51:00-07:00",,"Andrew Simon","false","research",19,2020-05-20 00:51:00
"Zonotrichia leucophrys",9176,"Zonotrichia leucophrys",0,"accepted","White-crowned Sparrow",,"Animalia","Chordata","Vertebrata","","Aves","","","Passeriformes","","","","Passerellidae","","","Zonotrichia","leucophrys","iNat:46563606",48.872264,-123.31171,"2020-05-19T17:55:00-07:00",,"Andrew Simon","false","research",18,2020-05-20 00:55:00
"Rhytidiadelphus squarrosus",123754,"Rhytidiadelphus squarrosus",0,"accepted","Square Gooseneck Moss",,"Plantae","Bryophyta","","","Bryopsida","","","Hypnales","","","","Hylocomiaceae","","","Rhytidiadelphus","squarrosus","iNat:46563607",48.872438,-123.311388,"2020-05-19T17:55:00-07:00",,"Andrew Simon","false","research",,2020-05-20 00:55:00
"Volucella facialis",1097563,"Volucella facialis",0,"accepted","Yellow-faced Swiftwing",,"Animalia","Arthropoda","Hexapoda","","Insecta","Pterygota","","Diptera","Brachycera","Cyclorrhapha","","Syrphidae","Eristalinae","Volucellini","Volucella","facialis","iNat:46563611",48.872431,-123.311786,"2020-05-19T17:57:00-07:00",,"Andrew Simon","false","research",13,2020-05-20 00:57:00
"Canis familiaris",47144,"Canis familiaris",0,"accepted","Domestic Dog",,"Animalia","Chordata","Vertebrata","","Mammalia","Theria","Laurasiatheria","Carnivora","","","","Canidae","","","Canis","familiaris","iNat:46563612",48.872431,-123.311786,"2020-05-19T18:12:00-07:00",,"Andrew Simon","true","casual",13,2020-05-20 01:12:00
"Empidonax difficilis",16598,"Empidonax difficilis",0,"accepted","Western Flycatcher",,"Animalia","Chordata","Vertebrata","","Aves","","","Passeriformes","","","","Tyrannidae","","","Empidonax","difficilis","iNat:46563615",48.87227,-123.311724,"2020-05-19T18:14:00-07:00",,"Andrew Simon","false","research",19,2020-05-20 01:14:00
"Zonotrichia leucophrys",9176,"Zonotrichia leucophrys",0,"accepted","White-crowned Sparrow",,"Animalia","Chordata","Vertebrata","","Aves","","","Passeriformes","","","","Passerellidae","","","Zonotrichia","leucophrys","iNat:46563616",48.872265,-123.311724,"2020-05-19T18:17:00-07:00",,"Andrew Simon","false","research",16,2020-05-20 01:17:00
