"iNaturalist.taxon.name","iNaturalist.taxon.ID","Taxon.name","ambiguousNameMatch","nameStatus","Common.name","Author","Kingdom","Phylum","Subphylum","Superclass","Class","Subclass","Superorder","Order","Suborder","Infraorder","Superfamily","Family","Subfamily","Tribe","Genus","Species","observationId","Latitude","Longitude","Date.observed","Description","Recorded.by","Captive.Cultivated","Quality.grade","coordinateUncertaintyInMeters","timestamp"
"Vaccinium ovatum",48349,"Vaccinium ovatum",0,"accepted","Evergreen Huckleberry",,"Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Ericales","","","","Ericaceae","Vaccinioideae","Vaccinieae","Vaccinium","ovatum","iNat:96324162",48.984817,-123.555038,"2021-09-26T14:27:30-07:00",,"Caitlin Robinson","false","research",16,2021-09-26 21:27:30
"Kopsiopsis hookeri",77611,"Kopsiopsis hookeri",0,"accepted","small ground-cone",,"Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Lamiales","","","","Orobanchaceae","","Orobancheae","Kopsiopsis","hookeri","iNat:96313531",48.982708,-123.5524,"2021-09-26T14:39:33-07:00",,"Caitlin Robinson","false","research",24,2021-09-26 21:39:33
"Platismatia glauca",117874,"Platismatia glauca",0,"accepted","Varied Rag Lichen",,"Fungi","Ascomycota","Pezizomycotina","","Lecanoromycetes","Lecanoromycetidae","","Lecanorales","","","","Parmeliaceae","Parmelioideae","","Platismatia","glauca","iNat:96314225",48.981663,-123.55143,"2021-09-26T14:45:04-07:00",,"Caitlin Robinson","false","needs_id",8,2021-09-26 21:45:04
"Kopsiopsis hookeri",77611,"Kopsiopsis hookeri",0,"accepted","small ground-cone",,"Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Lamiales","","","","Orobanchaceae","","Orobancheae","Kopsiopsis","hookeri","iNat:96313643",48.976628,-123.547767,"2021-09-26T15:00:41-07:00",,"Caitlin Robinson","false","research",16,2021-09-26 22:00:41
"Hypochaeris radicata",53104,"Hypochaeris radicata",0,"accepted","Common Cat's-ear",,"Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Asterales","","","","Asteraceae","Cichorioideae","Cichorieae","Hypochaeris","radicata","iNat:96324073",48.973492,-123.543945,"2021-09-26T15:17:00-07:00",,"Caitlin Robinson","false","needs_id",24,2021-09-26 22:17:00
"Leucanthemum vulgare",56057,"Leucanthemum vulgare",0,"accepted","oxeye daisy",,"Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Asterales","","","","Asteraceae","Asteroideae","Anthemideae","Leucanthemum","vulgare","iNat:96324578",48.97345,-123.543908,"2021-09-26T15:18:20-07:00",,"Caitlin Robinson","false","research",1625,2021-09-26 22:18:20
"Byssomerulius corium",118073,"Byssomerulius corium",0,"accepted","Netted Crust",,"Fungi","Basidiomycota","Agaricomycotina","","Agaricomycetes","","","Polyporales","","","","Irpicaceae","","","Byssomerulius","corium","iNat:96326000",48.982863,-123.552642,"2021-09-26T15:49:29-07:00",,"Caitlin Robinson","false","needs_id",12,2021-09-26 22:49:29
"Platismatia herrei",117876,"Platismatia herrei",0,"accepted","Herre's Ragged Lichen",,"Fungi","Ascomycota","Pezizomycotina","","Lecanoromycetes","Lecanoromycetidae","","Lecanorales","","","","Parmeliaceae","Parmelioideae","","Platismatia","herrei","iNat:96325574",48.985022,-123.556288,"2021-09-26T15:56:54-07:00",,"Caitlin Robinson","false","needs_id",94,2021-09-26 22:56:54
"Peltigera membranacea",117858,"Peltigera membranacea",0,"accepted","membranous pelt lichen",,"Fungi","Ascomycota","Pezizomycotina","","Lecanoromycetes","Lecanoromycetidae","","Peltigerales","","","","Peltigeraceae","","","Peltigera","membranacea","iNat:96313922",48.984828,-123.556603,"2021-09-26T15:57:46-07:00",,"Caitlin Robinson","false","needs_id",12,2021-09-26 22:57:46
"Porodaedalea pini",118081,"Porodaedalea pini",0,"accepted","Pine Bracket",,"Fungi","Basidiomycota","Agaricomycotina","","Agaricomycetes","","","Hymenochaetales","","","","Hymenochaetaceae","","","Porodaedalea","pini","iNat:96325703",48.985122,-123.557092,"2021-09-26T16:00:35-07:00",,"Caitlin Robinson","false","research",24,2021-09-26 23:00:35
"Chrysothrix",117942,"Chrysothrix",0,"accepted","Gold Dust Lichens",,"Fungi","Ascomycota","Pezizomycotina","","Arthoniomycetes","","","Arthoniales","","","","Chrysothricaceae","","","Chrysothrix","","iNat:96313992",48.985162,-123.557245,"2021-09-26T16:01:07-07:00",,"Caitlin Robinson","false","research",48,2021-09-26 23:01:07
