"iNaturalist.taxon.name","iNaturalist.taxon.ID","Taxon.name","ambiguousNameMatch","nameStatus","Common.name","Author","Kingdom","Phylum","Subphylum","Superclass","Class","Subclass","Superorder","Order","Suborder","Infraorder","Superfamily","Family","Subfamily","Tribe","Genus","Species","observationId","Latitude","Longitude","Date.observed","Description","Recorded.by","Captive.Cultivated","Quality.grade","coordinateUncertaintyInMeters","timestamp"
"Oxalis articulata",57805,"Oxalis articulata",0,"accepted","pink-sorrel",,"Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Oxalidales","","","","Oxalidaceae","","","Oxalis","articulata","iNat:179640701",48.943781,-123.497004,"2023-05-27T14:49:36-07:00",,"phmstone","false","research",495,2023-05-27 21:49:36
"Scirpus microcarpus",59068,"Scirpus microcarpus",0,"accepted","Panicled Bulrush",,"Plantae","Tracheophyta","Angiospermae","","Liliopsida","","","Poales","","","","Cyperaceae","Cyperoideae","Scirpeae","Scirpus","microcarpus","iNat:164092657",48.909141,-123.411065,"2023-05-27T14:56:50-07:00",,"andytaggartsmith","false","needs_id",19,2023-05-27 21:56:50
"Carex obnupta",61000,"Carex obnupta",0,"accepted","slough sedge",,"Plantae","Tracheophyta","Angiospermae","","Liliopsida","","","Poales","","","","Cyperaceae","Cyperoideae","Cariceae","Carex","obnupta","iNat:164094202",48.909106,-123.410765,"2023-05-27T14:58:45-07:00",,"andytaggartsmith","false","research",19,2023-05-27 21:58:45
"Cerastium arvense",50851,"Cerastium arvense",0,"accepted","field chickweed",,"Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Caryophyllales","","","","Caryophyllaceae","","Alsineae","Cerastium","arvense","iNat:164094421",48.909043,-123.409068,"2023-05-27T15:15:52-07:00",,"andytaggartsmith","false","research",21,2023-05-27 22:15:52
"Montia parvifolia",78123,"Montia parvifolia",0,"accepted","Small-leaved Blinks",,"Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Caryophyllales","","","","Montiaceae","","","Montia","parvifolia","iNat:164094469",48.908968,-123.409197,"2023-05-27T15:19:40-07:00",,"andytaggartsmith","false","research",222,2023-05-27 22:19:40
"Cladonia",49490,"Cladonia",0,"accepted","pixie cup and reindeer lichens",,"Fungi","Ascomycota","Pezizomycotina","","Lecanoromycetes","Lecanoromycetidae","","Lecanorales","","","","Cladoniaceae","","","Cladonia","","iNat:164094632",48.908919,-123.409144,"2023-05-27T15:21:57-07:00",,"andytaggartsmith","false","needs_id",270,2023-05-27 22:21:57
"Polypodium glycyrrhiza",55104,"Polypodium glycyrrhiza",0,"accepted","licorice fern",,"Plantae","Tracheophyta","","","Polypodiopsida","Polypodiidae","","Polypodiales","Polypodiineae","","","Polypodiaceae","Polypodioideae","","Polypodium","glycyrrhiza","iNat:164094663",48.909022,-123.409126,"2023-05-27T15:22:59-07:00",,"andytaggartsmith","false","research",40,2023-05-27 22:22:59
"Plectritis congesta",57786,"Plectritis congesta",0,"accepted","shortspur seablush",,"Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Dipsacales","","","","Caprifoliaceae","Valerianoideae","","Plectritis","congesta","iNat:164094694",48.908726,-123.409233,"2023-05-27T15:23:38-07:00",,"andytaggartsmith","false","research",157,2023-05-27 22:23:38
"Fritillaria affinis",50618,"Fritillaria affinis",0,"accepted","checker lily",,"Plantae","Tracheophyta","Angiospermae","","Liliopsida","","","Liliales","","","","Liliaceae","Lilioideae","Lilieae","Fritillaria","affinis","iNat:164094743",48.908779,-123.408758,"2023-05-27T15:27:41-07:00",,"andytaggartsmith","false","needs_id",15,2023-05-27 22:27:41
"Camassia quamash",62220,"Camassia quamash",0,"accepted","small camas",,"Plantae","Tracheophyta","Angiospermae","","Liliopsida","","","Asparagales","","","","Asparagaceae","Agavoideae","","Camassia","quamash","iNat:164094775",48.908529,-123.408848,"2023-05-27T15:27:41-07:00",,"andytaggartsmith","false","research",18,2023-05-27 22:27:41
"Senecio sylvaticus",53210,"Senecio sylvaticus",0,"accepted","Heath Groundsel",,"Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Asterales","","","","Asteraceae","Asteroideae","Senecioneae","Senecio","sylvaticus","iNat:164095744",48.908891,-123.408519,"2023-05-27T15:36:41-07:00",,"andytaggartsmith","false","research",16,2023-05-27 22:36:41
"Eriophyllum lanatum",77049,"Eriophyllum lanatum",0,"accepted","common woolly sunflower",,"Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Asterales","","","","Asteraceae","Asteroideae","Madieae","Eriophyllum","lanatum","iNat:175259930",48.908514,-123.408494,"2023-05-27T15:37:01-07:00",,"phmstone","false","needs_id",,2023-05-27 22:37:01
"Allium acuminatum",59782,"Allium acuminatum",0,"accepted","Hooker's onion",,"Plantae","Tracheophyta","Angiospermae","","Liliopsida","","","Asparagales","","","","Amaryllidaceae","Allioideae","Allieae","Allium","acuminatum","iNat:175260210",48.908514,-123.408494,"2023-05-27T15:37:01-07:00",,"phmstone","false","research",,2023-05-27 22:37:01
"Agoseris grandiflora",52828,"Agoseris grandiflora",0,"accepted","bigflower agoseris",,"Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Asterales","","","","Asteraceae","Cichorioideae","Cichorieae","Agoseris","grandiflora","iNat:164095290",48.908903,-123.408839,"2023-05-27T15:39:11-07:00",,"andytaggartsmith","false","research",1396,2023-05-27 22:39:11
"Achillea",1574425,"Achillea",0,"accepted","Section Achillea",,"Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Asterales","","","","Asteraceae","Asteroideae","Anthemideae","Achillea","","iNat:175259363",48.908678,-123.408456,"2023-05-27T15:39:50-07:00",,"phmstone","false","needs_id",,2023-05-27 22:39:50
"Castilleja hispida",128204,"Castilleja hispida",0,"accepted","harsh indian paintbrush",,"Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Lamiales","","","","Orobanchaceae","","Pedicularideae","Castilleja","hispida","iNat:164095312",48.908646,-123.408413,"2023-05-27T15:42:38-07:00",,"andytaggartsmith","false","research",31,2023-05-27 22:42:38
"Cerastium arvense",50851,"Cerastium arvense",0,"accepted","field chickweed",,"Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Caryophyllales","","","","Caryophyllaceae","","Alsineae","Cerastium","arvense","iNat:164093703",48.908787,-123.408528,"2023-05-27T15:43:53-07:00",,"Tyler Innes","false","research",39,2023-05-27 22:43:53
"Paxistima myrsinites",63893,"Paxistima myrsinites",0,"accepted","Oregon Boxwood",,"Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Celastrales","","","","Celastraceae","","","Paxistima","myrsinites","iNat:164095353",48.908687,-123.408335,"2023-05-27T15:44:48-07:00",,"andytaggartsmith","false","research",16,2023-05-27 22:44:48
"Aira caryophyllea",52694,"Aira caryophyllea",0,"accepted","Silver Hairgrass",,"Plantae","Tracheophyta","Angiospermae","","Liliopsida","","","Poales","","","","Poaceae","Pooideae","Poeae","Aira","caryophyllea","iNat:164094530",48.908693,-123.408443,"2023-05-27T15:48:48-07:00",,"Tyler Innes","false","research",30,2023-05-27 22:48:48
"Cotoneaster horizontalis",53771,"Cotoneaster horizontalis",0,"accepted","Wall cotoneaster",,"Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Rosales","","","","Rosaceae","Amygdaloideae","Maleae","Cotoneaster","horizontalis","iNat:164095916",48.908757,-123.408203,"2023-05-27T15:51:12-07:00",,"andytaggartsmith","false","research",42,2023-05-27 22:51:12
"Leucanthemum vulgare",56057,"Leucanthemum vulgare",0,"accepted","oxeye daisy",,"Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Asterales","","","","Asteraceae","Asteroideae","Anthemideae","Leucanthemum","vulgare","iNat:164095979",48.90873,-123.408445,"2023-05-27T15:54:02-07:00",,"andytaggartsmith","false","needs_id",10,2023-05-27 22:54:02
"Acmispon parviflorus",57048,"Acmispon parviflorus",0,"accepted","Short-flower Deervetch",,"Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Fabales","","","","Fabaceae","Faboideae","Loteae","Acmispon","parviflorus","iNat:164095359",48.908715,-123.40857,"2023-05-27T15:57:38-07:00",,"Tyler Innes","false","research",18,2023-05-27 22:57:38
"Allium acuminatum",59782,"Allium acuminatum",0,"accepted","Hooker's onion",,"Plantae","Tracheophyta","Angiospermae","","Liliopsida","","","Asparagales","","","","Amaryllidaceae","Allioideae","Allieae","Allium","acuminatum","iNat:164096138",48.908912,-123.408639,"2023-05-27T15:58:55-07:00",,"andytaggartsmith","false","research",24,2023-05-27 22:58:55
"Festuca microstachys pauciflora",1377236,"Festuca microstachys pauciflora",0,"accepted","Pacific Fescue",,"Plantae","Tracheophyta","Angiospermae","","Liliopsida","","","Poales","","","","Poaceae","Pooideae","Poeae","Festuca","microstachys","iNat:164096717",48.908816,-123.408509,"2023-05-27T16:00:05-07:00",,"Tyler Innes","false","research",112,2023-05-27 23:00:05
"Collomia heterophylla",52996,"Collomia heterophylla",0,"accepted","variableleaf collomia",,"Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Ericales","","","","Polemoniaceae","","","Collomia","heterophylla","iNat:164096958",48.908685,-123.408527,"2023-05-27T16:02:22-07:00",,"andytaggartsmith","false","needs_id",9,2023-05-27 23:02:22
"Alectoria vancouverensis",205455,"Alectoria vancouverensis",0,"accepted","Vancouver Witch's Hair Lichen",,"Fungi","Ascomycota","Pezizomycotina","","Lecanoromycetes","Lecanoromycetidae","","Lecanorales","","","","Parmeliaceae","Parmelioideae","","Alectoria","vancouverensis","iNat:164096803",48.90876,-123.408506,"2023-05-27T16:05:41-07:00",,"Tyler Innes","false","research",8,2023-05-27 23:05:41
"Collomia heterophylla",52996,"Collomia heterophylla",0,"accepted","variableleaf collomia",,"Plantae","Tracheophyta","Angiospermae","","Magnoliopsida","","","Ericales","","","","Polemoniaceae","","","Collomia","heterophylla","iNat:164097965",48.908714,-123.408796,"2023-05-27T16:06:46-07:00",,"Tyler Innes","false","research",123,2023-05-27 23:06:46
"Luzula multiflora",164948,"Luzula multiflora",0,"accepted","heath wood-rush",,"Plantae","Tracheophyta","Angiospermae","","Liliopsida","","","Poales","","","","Juncaceae","","","Luzula","multiflora","iNat:164097691",48.908963,-123.408698,"2023-05-27T16:10:16-07:00",,"andytaggartsmith","false","needs_id",22,2023-05-27 23:10:16
"Koeleria macrantha",57183,"Koeleria macrantha",0,"accepted","Prairie Junegrass",,"Plantae","Tracheophyta","Angiospermae","","Liliopsida","","","Poales","","","","Poaceae","Pooideae","Poeae","Koeleria","macrantha","iNat:164234552",48.908677,-123.408502,"2023-05-27T16:12:17-07:00",,"andytaggartsmith","false","research",420,2023-05-27 23:12:17
"Racomitrium lanuginosum",167684,"Racomitrium lanuginosum",0,"accepted","Woolly Fringe-moss",,"Plantae","Bryophyta","","","Bryopsida","","","Grimmiales","","","","Grimmiaceae","","","Racomitrium","lanuginosum","iNat:164097973",48.908809,-123.408533,"2023-05-27T16:12:57-07:00",,"Tyler Innes","false","needs_id",443,2023-05-27 23:12:57
"Cladonia rangiferina",119778,"Cladonia rangiferina",0,"accepted","gray reindeer lichen",,"Fungi","Ascomycota","Pezizomycotina","","Lecanoromycetes","Lecanoromycetidae","","Lecanorales","","","","Cladoniaceae","","","Cladonia","rangiferina","iNat:164131186",48.909121,-123.409116,"2023-05-27T16:21:10-07:00",,"Tyler Innes","false","research",35,2023-05-27 23:21:10
